Data ID,C1CY29
Sample ID,CY-PLH-029
Mineral Name,vermiculite
Sample Description,"LLANO,TX"
Date Added,19-Jul-90
Viewing Geometry,"i=30, e=0"
Other Information,
Grain Size,0 - 500 µm
Database of Origin,RELAB
Wavelength,Response
300,0.19361
305,0.20636
310,0.22431
315,0.24223
320,0.25927
325,0.2768
330,0.29358
335,0.30809
340,0.32219
345,0.33762
350,0.35017
355,0.36444
360,0.37665
365,0.38719
370,0.39835
375,0.40947
380,0.42222
385,0.43309
390,0.44409
395,0.45313
400,0.46246
405,0.46947
410,0.47751
415,0.4842
420,0.48981
425,0.49593
430,0.50244
435,0.50966
440,0.51625
445,0.52346
450,0.53103
455,0.53597
460,0.54093
465,0.54587
470,0.55067
475,0.55596
480,0.56035
485,0.56521
490,0.57141
495,0.576
500,0.58185
505,0.5873
510,0.59286
515,0.59671
520,0.60346
525,0.60706
530,0.61315
535,0.61729
540,0.62221
545,0.6258
550,0.63107
555,0.63533
560,0.63801
565,0.64248
570,0.64562
575,0.64917
580,0.65174
585,0.65522
590,0.65799
595,0.66112
600,0.66261
605,0.66539
610,0.66734
615,0.67061
620,0.67191
625,0.67531
630,0.67688
635,0.67998
640,0.6823
645,0.68496
650,0.6884
655,0.69118
660,0.69365
665,0.69531
670,0.69816
675,0.70014
680,0.70212
685,0.70424
690,0.7063
695,0.70747
700,0.71001
705,0.71132
710,0.71343
715,0.71501
720,0.71707
725,0.71772
730,0.7193
735,0.72111
740,0.7227
745,0.72301
750,0.72495
755,0.72672
760,0.72866
765,0.72982
770,0.73029
775,0.73131
780,0.73357
785,0.7353
790,0.73583
795,0.73673
800,0.73747
805,0.73852
810,0.74053
815,0.74028
820,0.74184
825,0.74318
830,0.74167
835,0.74406
840,0.74418
845,0.74417
850,0.74531
855,0.74809
860,0.74697
865,0.74715
870,0.74677
875,0.7453
880,0.74381
885,0.74078
890,0.74083
895,0.74023
900,0.74198
905,0.74135
910,0.74375
915,0.74417
920,0.74556
925,0.74543
930,0.74473
935,0.74533
940,0.74155
945,0.73636
950,0.73615
955,0.74223
960,0.74352
965,0.74487
970,0.74579
975,0.74718
980,0.74777
985,0.74858
990,0.74952
995,0.74988
1000,0.75018
1005,0.75048
1010,0.749
1015,0.74894
1020,0.7499
1025,0.74906
1030,0.75006
1035,0.75033
1040,0.75164
1045,0.75213
1050,0.75302
1055,0.75398
1060,0.75542
1065,0.75703
1070,0.75761
1075,0.75867
1080,0.75945
1085,0.76035
1090,0.76124
1095,0.76108
1100,0.76206
1105,0.76215
1110,0.7637
1115,0.76511
1120,0.76751
1125,0.76769
1130,0.76602
1135,0.76514
1140,0.7648
1145,0.76371
1150,0.7625
1155,0.76196
1160,0.76141
1165,0.7612
1170,0.76173
1175,0.76222
1180,0.76339
1185,0.76398
1190,0.76499
1195,0.76549
1200,0.76975
1205,0.77047
1210,0.76939
1215,0.77013
1220,0.77084
1225,0.77104
1230,0.77043
1235,0.77116
1240,0.7715
1245,0.77143
1250,0.77071
1255,0.76951
1260,0.769
1265,0.76937
1270,0.76961
1275,0.76581
1280,0.76325
1285,0.76204
1290,0.77042
1295,0.77232
1300,0.77331
1305,0.77283
1310,0.77282
1315,0.77168
1320,0.77096
1325,0.77122
1330,0.77024
1335,0.76862
1340,0.76673
1345,0.76374
1350,0.75588
1355,0.74073
1360,0.73655
1365,0.73931
1370,0.73814
1375,0.7207
1380,0.6165
1385,0.59389
1390,0.57225
1395,0.59217
1400,0.63726
1405,0.65016
1410,0.66474
1415,0.66594
1420,0.66536
1425,0.66429
1430,0.66506
1435,0.66673
1440,0.66847
1445,0.6695
1450,0.67175
1455,0.67307
1460,0.67452
1465,0.67517
1470,0.67761
1475,0.67905
1480,0.68186
1485,0.68428
1490,0.6865
1495,0.68813
1500,0.69096
1505,0.69309
1510,0.69533
1515,0.69943
1520,0.70117
1525,0.70544
1530,0.70732
1535,0.71058
1540,0.71243
1545,0.71317
1550,0.7148
1555,0.71557
1560,0.71413
1565,0.71471
1570,0.71454
1575,0.71546
1580,0.7166
1585,0.71635
1590,0.71659
1595,0.71758
1600,0.71803
1605,0.71726
1610,0.71761
1615,0.71793
1620,0.7172
1625,0.71636
1630,0.7158
1635,0.71658
1640,0.71593
1645,0.71549
1650,0.71552
1655,0.71559
1660,0.71682
1665,0.71607
1670,0.71607
1675,0.71554
1680,0.71494
1685,0.71513
1690,0.71474
1695,0.71407
1700,0.71438
1705,0.71332
1710,0.71329
1715,0.71246
1720,0.71419
1725,0.71214
1730,0.7111
1735,0.7103
1740,0.70942
1745,0.70827
1750,0.70692
1755,0.70584
1760,0.70569
1765,0.70496
1770,0.70387
1775,0.70372
1780,0.70341
1785,0.70202
1790,0.70173
1795,0.70095
1800,0.70035
1805,0.69974
1810,0.69839
1815,0.69727
1820,0.69779
1825,0.69744
1830,0.69519
1835,0.69402
1840,0.69273
1845,0.68984
1850,0.68817
1855,0.685
1860,0.68194
1865,0.67363
1870,0.66368
1875,0.65302
1880,0.63779
1885,0.62013
1890,0.59858
1895,0.57366
1900,0.54976
1905,0.53483
1910,0.52343
1915,0.51785
1920,0.51745
1925,0.51846
1930,0.5205
1935,0.52232
1940,0.52547
1945,0.52853
1950,0.5308
1955,0.5324
1960,0.53428
1965,0.53628
1970,0.53852
1975,0.5415
1980,0.54474
1985,0.54821
1990,0.55241
1995,0.55707
2000,0.56173
2005,0.56657
2010,0.57024
2015,0.57458
2020,0.57849
2025,0.58152
2030,0.58508
2035,0.58837
2040,0.59184
2045,0.59507
2050,0.59868
2055,0.60246
2060,0.60481
2065,0.60717
2070,0.60801
2075,0.6079
2080,0.60556
2085,0.60375
2090,0.60259
2095,0.60299
2100,0.60362
2105,0.60425
2110,0.60482
2115,0.60738
2120,0.60925
2125,0.6079
2130,0.6073
2135,0.6106
2140,0.61443
2145,0.61836
2150,0.62176
2155,0.62466
2160,0.62639
2165,0.62708
2170,0.6279
2175,0.62821
2180,0.62834
2185,0.62724
2190,0.62588
2195,0.62449
2200,0.62241
2205,0.6198
2210,0.61622
2215,0.61166
2220,0.60687
2225,0.5994
2230,0.58815
2235,0.57289
2240,0.55787
2245,0.54996
2250,0.54788
2255,0.54821
2260,0.54116
2265,0.52575
2270,0.51435
2275,0.51084
2280,0.50535
2285,0.49459
2290,0.48407
2295,0.47691
2300,0.46701
2305,0.45261
2310,0.43648
2315,0.42548
2320,0.42076
2325,0.4234
2330,0.43051
2335,0.43751
2340,0.45555
2345,0.4789
2350,0.4975
2355,0.50611
2360,0.5055
2365,0.49911
2370,0.49077
2375,0.48238
2380,0.4751
2385,0.47127
2390,0.46737
2395,0.46382
2400,0.4622
2405,0.46061
2410,0.45768
2415,0.45264
2420,0.44636
2425,0.44001
2430,0.43368
2435,0.43011
2440,0.42852
2445,0.42553
2450,0.42259
2455,0.41983
2460,0.41696
2465,0.4122
2470,0.4058
2475,0.39874
2480,0.39274
2485,0.38893
2490,0.38219
2495,0.37444
2500,0.36794
2505,0.36566
2510,0.36643
2515,0.37017
2520,0.37573
2525,0.3801
2530,0.3857
2535,0.39268
2540,0.39591
2545,0.39909
2550,0.4017
2555,0.39924
2560,0.3982
2565,0.40804
2570,0.40696
2575,0.41054
2580,0.40875
2585,0.41418
2590,0.41453
2595,0.41968
2600,0.41378
